Address,City,Price,lot_size_m2,living_area_m2,Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,est_neigh_price_m2,rooms_total,bedrooms,Bathrooms,province_nl,price_per_sqm
Joseph Bechstraat 17,Zevenaar,375000.0,278.0,119.0,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,B,"Aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",2.905,5,4.0,1,Gelderland,3151.2605042016808
De Stroekeld 118,Rijssen,315000.0,226.0,112.0,1993,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,B,In woonwijk,Achtertuin en voortuin,6.970,7,4.0,1,Overijssel,2812.5
Maandenweg 59,Almere,935000.0,663.0,330.0,2000,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3,A,"Aan rustige weg, beschutte ligging en in woonwijk",Tuin rondom,5.070,7,4.0,2,Flevoland,2833.3333333333335
Klompstraat 25,Apeldoorn,319000.0,335.0,85.0,1918,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer,2,G,Aan rustige weg en in centrum,Achtertuin,2.960,3,2.0,1,Gelderland,3752.9411764705883
IJweg 1646,Nieuw-Vennep,3475000.0,4.225,627.0,2004,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met riet,7 kamers (4 slaapkamers),3 badkamers en 1 apart toilet,2,B,Open ligging en vrij uitzicht,Tuin rondom en zonneterras,9.015,7,4.0,3,Noord-Holland,5542.2647527910685
Beursweg 4,Huizen,1050000.0,522.0,177.0,1903,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 2 aparte toiletten,2,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",2.750,4,3.0,2,Noord-Holland,5932.203389830508
Kerklaan 11,Loenen aan de Vecht,445000.0,288.0,102.0,1959,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,"Aan rustige weg, buiten bebouwde kom en in woonwijk",Achtertuin en voortuin,135,6,3.0,1,Utrecht,4362.745098039216
Immenweg 18,Lunteren,1650000.0,9.412,249.0,1931,Bestaande bouw,"Woonboerderij, vrijstaande woning",Schilddak bedekt met riet,7 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,2,C,"Aan rustige weg, in bosrijke omgeving, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,345,7,2.0,2,Gelderland,6626.506024096386
Nieuwekampen 5 A,Vinkel (Gem. Den Bosch),700000.0,3.436,332.0,1911,Bestaande bouw,"Woonboerderij, halfvrijstaande woning",Schilddak bedekt met pannen,9 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3,G,"Aan rustige weg, buiten bebouwde kom, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",850,9,5.0,1,,2108.4337349397592
Cornelis Kraanstraat 32,Rotterdam,375000.0,130.0,106.0,1991,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,8.305,5,4.0,1,Zuid-Holland,3537.735849056604
Edelhertlaan 5,Helmond,345000.0,239.0,130.0,1991,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,,Achtertuin en voortuin,3.510,4,3.0,1,Noord-Brabant,2653.846153846154
Clingendaellaan 175,Almere,385000.0,141.0,113.0,1992,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3,B,In woonwijk,Achtertuin en voortuin,4.120,4,3.0,2,Flevoland,3407.079646017699
Fellinilaan 145,Almere,425000.0,268.0,110.0,1996,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,B,In woonwijk en vrij uitzicht,Achtertuin en zijtuin,10.530,5,3.0,1,Flevoland,3863.6363636363635
Middelveld 5,Cothen,425000.0,155.0,127.0,2002,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.845,5,4.0,1,Utrecht,3346.4566929133857
Erasmusstraat 24,Rotterdam,695000.0,179.0,155.0,1885,Bestaande bouw,"Herenhuis, eindwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin,17.045,5,4.0,1,Zuid-Holland,4483.870967741936
Paulusstraat 3,Sint Anthonis,355000.0,336.0,147.0,1968,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",3.280,5,4.0,2,Noord-Brabant,2414.9659863945576
Dr Holwerdastraat 8,Wijk bij Duurstede,395000.0,204.0,133.0,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2,D,In woonwijk,Achtertuin en voortuin,,4,3.0,1,Utrecht,2969.9248120300754
Sambrestraat 29,Assen,295000.0,260.0,135.0,1975,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,D,"Beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin en voortuin,360,5,4.0,1,Drenthe,2185.185185185185
Het Veldje 121,Horst,275000.0,154.0,122.0,1982,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,,Achtertuin en voortuin,1.685,6,4.0,1,Limburg,2254.098360655738
Breestraat 8,Heusden (Gem. Heusden),489000.0,115.0,100.0,1800,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,Niet verplicht,"Aan rustige weg, beschutte ligging en in centrum",Achtertuin,1.320,6,3.0,1,,4890.0
Burg. Lemmensstraat 251,Geleen,200000.0,318.0,86.0,1920,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer,2,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,7.820,4,2.0,1,Limburg,2325.5813953488373
Burg. Lemmensstraat 249,Geleen,235000.0,316.0,100.0,1920,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,7.820,4,2.0,1,Limburg,2350.0
Jurgensstraat 45,Elsloo (LI),289000.0,203.0,95.0,1953,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,7 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,C,In centrum en in woonwijk,Voortuin en zijtuin,7.020,7,3.0,1,,3042.1052631578946
Wonge 30,Warmenhuizen,395000.0,156.0,124.0,1985,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,875,6,5.0,1,Noord-Holland,3185.483870967742
Castertstraat 5,Ell,635000.0,2.956,268.0,1790,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen en riet,7 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1,E,"Aan rustige weg, buiten bebouwde kom, landelijk gelegen en vrij uitzicht","Achtertuin, voortuin en zijtuin",355,7,3.0,1,Limburg,2369.402985074627
Hendrik Werkmanhof 14,Veendam,475000.0,489.0,156.0,1999,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,A,In woonwijk,"Achtertuin, voortuin en zijtuin",2.070,6,5.0,1,Groningen,3044.871794871795
Merel 3,Bedum,275000.0,284.0,80.0,1993,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",7.660,4,3.0,1,Groningen,3437.5
Blauwe Slenk 8,Harlingen,675000.0,551.0,184.0,2007,Bestaande bouw,"Herenhuis, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,A,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Tuin rondom,7.265,6,5.0,1,Fryslân,3668.478260869565
Grevelingenhout 37,Bruinisse,800000.0,952.0,167.0,1993,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2,C,"Aan park, aan rustige weg, aan water, beschutte ligging, in bosrijke omgeving en vrij uitzicht",Tuin rondom,410,6,5.0,1,Zeeland,4790.419161676647
Raadhuisplein 17,Rijen,325000.0,322.0,132.0,1962,Bestaande bouw,"Eengezinswoning, hoekwoning",Dwarskap bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,4,E,In woonwijk,Achtertuin en voortuin,€ 2.967,6,4.0,1,Noord-Brabant,2462.121212121212
Jean Monnetstraat 232,Heemskerk,425000.0,219.0,115.0,1969,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,In woonwijk,Achtertuin en voortuin,1.140,5,4.0,1,Noord-Holland,3695.6521739130435
Rogstraat 37,Herpen,375000.0,640.0,80.0,1973,Bestaande bouw,"Bungalow, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1,D,Aan drukke weg en in centrum,"Achtertuin, voortuin en zijtuin",2.380,3,2.0,1,Noord-Brabant,4687.5
Deurningerstraat 86,Enschede,429000.0,61.0,117.0,2020,Bestaande bouw,"Eengezinswoning, geschakelde woning (drive-in woning)",Plat dak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,A,"Aan drukke weg, in centrum en in woonwijk",,1.740,5,4.0,1,Overijssel,3666.6666666666665
Noordbargerstraat 36,Emmen,425000.0,621.0,143.0,1936,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,D,Aan rustige weg en in centrum,Achtertuin en voortuin,1.080,5,3.0,1,Drenthe,2972.027972027972
Esdoornlaan 15,Castricum,530000.0,257.0,143.0,1982,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.985,6,5.0,1,Noord-Holland,3706.2937062937062
Bergstraat 4,Neede,345000.0,352.0,125.0,1906,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak,6 kamers (3 slaapkamers),2 badkamers,2,G,In centrum,Achtertuin,465,6,3.0,2,Gelderland,2760.0
Spindermolen 9,Hardinxveld-Giessendam,350000.0,190.0,122.0,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.017,5,4.0,1,Zuid-Holland,2868.8524590163934
Aggelenstraat 9,De Rijp,350000.0,180.0,105.0,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.060,5,4.0,1,Noord-Holland,3333.3333333333335
Lipperkerkstraat 116,Enschede,285000.0,147.0,116.0,1903,Bestaande bouw,"Herenhuis, verspringend",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,E,Aan rustige weg en in woonwijk,Achtertuin,5.715,4,3.0,1,Overijssel,2456.896551724138
Touwslagersbaan 99,Gendringen,209000.0,145.0,101.0,1975,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.725,5,4.0,1,Gelderland,2069.3069306930693
Madeliefstraat 8,Doetinchem,379000.0,240.0,132.0,2008,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,A,In woonwijk,Achtertuin en voortuin,2.780,5,3.0,1,Gelderland,2871.212121212121
Janbaas 35,Nieuwendijk,525000.0,224.0,142.0,2017,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2,A,In woonwijk,Tuin rondom,3.580,6,5.0,1,Noord-Brabant,3697.1830985915494
De Steenzager 45,Veldhoven,350000.0,167.0,137.0,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,C,,Achtertuin en voortuin,2.745,6,5.0,1,Noord-Brabant,2554.7445255474454
Mesdaghof 1,Nijkerk,494000.0,286.0,133.0,1981,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.535,5,4.0,1,Gelderland,3714.285714285714
Veentien 7,Meppel,290000.0,159.0,95.0,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.380,4,3.0,1,Drenthe,3052.6315789473683
Zalmstraat 8,Heerewaarden,292500.0,234.0,110.0,1970,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.065,5,4.0,1,Gelderland,2659.090909090909
Botterlaan 32,Zaandam,450000.0,156.0,126.0,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3,C,In woonwijk,Achtertuin en voortuin,5.400,5,4.0,1,Noord-Holland,3571.4285714285716
Gastakker 69,Breda,450000.0,251.0,118.0,1973,Bestaande bouw,"Bungalow, geschakelde woning (patiowoning)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1,C,Aan rustige weg en in woonwijk,Patio/atrium,5.155,5,3.0,1,Noord-Brabant,3813.5593220338983
Park Oosterspaarn 27,Haarlem,775000.0,259.0,156.0,1995,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,2,B,Aan rustige weg en in woonwijk,Achtertuin en patio/atrium,1.465,3,2.0,2,Noord-Holland,4967.948717948718
Lisztgaarde 300,Oss,725000.0,975.0,218.0,1973,Bestaande bouw,"Herenhuis, vrijstaande woning",Plat dak,7 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,2,C,,"Achtertuin, voortuin en zijtuin",915,7,5.0,1,Noord-Brabant,3325.6880733944954
Lemmenslaan 65,Eindhoven,315000.0,144.0,95.0,1950,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.385,4,3.0,1,Noord-Brabant,3315.7894736842104
Ien Dalessingel 104,Zutphen,575000.0,395.0,180.0,1999,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met overig,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,A,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom, voortuin, zijtuin en zonneterras",2.805,6,5.0,1,Gelderland,3194.4444444444443
Brochestraat 3,Almere,450000.0,210.0,111.0,2005,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak,4 kamers (3 slaapkamers),1 badkamer,1,B,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Patio/atrium,1.050,4,3.0,1,Flevoland,4054.054054054054
Leefdaelhof 3,Waalwijk,315000.0,108.0,98.0,1982,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,3.890,5,4.0,1,Noord-Brabant,3214.285714285714
Oranjestraat 71,Ridderkerk,425000.0,244.0,108.0,1937,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,F,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.130,5,3.0,1,Zuid-Holland,3935.185185185185
Zeemansstraat 11,Zaandam,475000.0,113.0,106.0,1939,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3,F,Aan rustige weg en in centrum,Achtertuin en zijtuin,4.260,6,5.0,1,Noord-Holland,4481.132075471698
Kruburg 4,Eindhoven,375000.0,143.0,137.0,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,B,In woonwijk,Achtertuin en voortuin,2.675,5,4.0,1,Noord-Brabant,2737.2262773722628
Merkendal 8,Arnhem,595000.0,593.0,134.0,1962,Bestaande bouw,"Bungalow, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2,G,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Tuin rondom,1.050,3,2.0,1,Gelderland,4440.298507462687
18 novemberring 130,Panningen,475000.0,508.0,146.0,1991,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,10 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,B,In woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin",6.820,10,3.0,1,Limburg,3253.4246575342468
De Driestal 28,Heiloo,450000.0,185.0,114.0,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,B,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,3.255,5,4.0,1,Noord-Holland,3947.3684210526317
Javastraat 5,Roermond,249000.0,158.0,104.0,1977,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,B,In woonwijk,Achtertuin,2.310,5,3.0,1,Limburg,2394.230769230769
Haagakker 16,Rijsbergen,342000.0,208.0,121.0,1984,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.280,4,3.0,1,Noord-Brabant,2826.4462809917354
Gebroeders Daelstraat 25,Venlo,315000.0,110.0,108.0,1990,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,"Aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,1.930,5,3.0,1,Limburg,2916.6666666666665
Bouwheerstraat 45,Barneveld,599000.0,320.0,110.0,1968,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,G,In centrum,Tuin rondom,1.695,4,3.0,1,Gelderland,5445.454545454545
Korte Wijden 19,Elburg,350000.0,239.0,104.0,1964,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,D,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras",3.045,6,4.0,1,Gelderland,3365.3846153846152
Tholenstraat 13,Kampen,279500.0,112.0,91.0,1935,Bestaande bouw,"Eengezinswoning, hoekwoning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,In woonwijk,Achtertuin,2.420,4,3.0,1,Overijssel,3071.4285714285716
Burgemeester v Raaijstr 18,Beers,359000.0,366.0,142.0,1968,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,3,C,Aan rustige weg en in centrum,Achtertuin en voortuin,1.285,6,2.0,1,,2528.169014084507
Bisschop Zwijsenplein 27,Vught,469500.0,154.0,143.0,1970,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3,C,"Aan rustige weg, in woonwijk, open ligging en vrij uitzicht",Achtertuin en voortuin,3.180,6,5.0,2,Noord-Brabant,3283.2167832167834
Prinsenweg 13,Elst (UT),675000.0,605.0,111.0,1938,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.825,5,4.0,1,,6081.081081081081
Marijkelaan 15,Bergen (NH),1190000.0,703.0,177.0,2007,Bestaande bouw,"Bungalow, vrijstaande woning",Plat dak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1,A,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en vrij uitzicht",Tuin rondom,1.445,5,3.0,1,Noord-Holland,6723.163841807909
Baai 71,Lelystad,289500.0,168.0,130.0,1970,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3,B,In woonwijk,Achtertuin en voortuin,3.340,5,4.0,2,Flevoland,2226.923076923077
De Koolmees 50,Vriezenveen,270000.0,217.0,109.0,1979,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,D,In woonwijk,Achtertuin en voortuin,€ 2.326,5,3.0,1,Overijssel,2477.064220183486
Middenstraat 70,Woudenberg,475000.0,276.0,104.0,1890,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,F,,,2.090,5,4.0,1,Utrecht,4567.307692307692
Willem van Gulikstraat 4,Arnhem,810000.0,295.0,181.0,1955,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3,C,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",1.185,6,4.0,2,Gelderland,4475.138121546961
Emmaweg 54,Maarssen,649000.0,197.0,165.0,1905,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers,3,C,"Aan rustige weg, beschutte ligging en in centrum",Achtertuin en zijtuin,960,6,4.0,2,Utrecht,3933.3333333333335
Zwarteweg 9 a,Oosterwolde (GE),550000.0,699.0,132.0,1887,Bestaande bouw,"Woonboerderij, halfvrijstaande woning",Zadeldak bedekt met riet,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,C,"Beschutte ligging, in centrum en landelijk gelegen","Achtertuin, voortuin en zijtuin",1.045,6,3.0,1,,4166.666666666667
Tasmanstraat 19,IJmuiden,389000.0,110.0,122.0,1987,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.580,5,4.0,2,Noord-Holland,3188.5245901639346
Boven Wijde 11,Almere,275000.0,125.0,70.0,1983,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2,B,In woonwijk,Achtertuin en voortuin,7.390,4,2.0,1,Flevoland,3928.5714285714284
Lage Wei 16,Harderwijk,335000.0,133.0,111.0,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,In woonwijk,Achtertuin,1.505,5,4.0,1,Gelderland,3018.018018018018
Koningskinderen 23,Eindhoven,350000.0,140.0,100.0,1993,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,7.235,5,3.0,1,Noord-Brabant,3500.0
Piershilstraat 12,Zoetermeer,475000.0,137.0,129.0,2003,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,16.005,6,4.0,1,Zuid-Holland,3682.170542635659
Slimtocht 24,Berkhout,895000.0,435.0,207.0,2020,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3,A,Aan water,"Achtertuin, voortuin en zijtuin",415,5,4.0,2,Noord-Holland,4323.671497584541
Groot Heiligland 38,Haarlem,1250000.0,93.0,180.0,1722,Bestaande bouw,"Herenhuis, hoekwoning",Zadeldak bedekt met pannen,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,5,Niet verplicht,Aan rustige weg en in centrum,Patio/atrium,1.430,7,4.0,1,Noord-Holland,6944.444444444444
