Address,City,Price,lot_size_m2,living_area_m2,Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,est_neigh_price_m2,rooms_total,bedrooms,Bathrooms,province_nl,price_per_sqm
Vlasven 33,Veghel,310000.0,82.0,80.0,2012,Bestaande bouw,"Eengezinswoning, tussenwoning (split-level woning)",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,3,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.045,4,2.0,1,Noord-Brabant,3875.0
Mozartdreef 24,Veenendaal,525000.0,280.0,131.0,1990,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,C,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,2.590,4,3.0,1,Utrecht,4007.6335877862593
Waardenborchstraat 28,Holten,289000.0,333.0,89.0,1963,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,F,Aan rustige weg en in woonwijk,Tuin rondom,2.850,5,3.0,1,Overijssel,3247.191011235955
Schrijvershoeve 22,Helmond,385000.0,140.0,119.0,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,3.035,5,4.0,1,Noord-Brabant,3235.294117647059
Vinkenbaan 5,Gilze,325000.0,134.0,106.0,2009,Bestaande bouw,"Eengezinswoning, eindwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.286,4,3.0,1,Noord-Brabant,3066.0377358490564
Sierra Nevada 70,Assendelft,485000.0,130.0,126.0,2008,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.455,5,4.0,1,Noord-Holland,3849.2063492063494
Culenhof 48,Nuenen,335000.0,135.0,91.0,2009,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning (kwadrant woning)",Lessenaardak bedekt met metaal,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3,A,In woonwijk,Achtertuin en voortuin,825,5,3.0,1,Noord-Brabant,3681.3186813186812
Gentiaanstraat 84,Apeldoorn,315000.0,153.0,135.0,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.075,5,4.0,1,Gelderland,2333.3333333333335
Bovenste Boord 17,Linne,675000.0,1.146,233.0,1976,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2,C,Aan rustige weg,Tuin rondom,3.610,9,4.0,1,Limburg,2896.9957081545062
Tilburgweg 45,Arnhem,275000.0,153.0,90.0,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,5.980,5,4.0,1,Gelderland,3055.5555555555557
